2015-11-20 19:14:55.887 [main] INFO   - Initializing ontologies!
2015-11-20 19:14:55.949 [main] INFO   - Rows loaded from tweets.txt[1500]
2015-11-20 19:14:57.930 [main] INFO   - HashTags Loaded [329]
2015-11-20 19:14:58.000 [main] INFO   - Rows loaded from ontologies.json[1]
2015-11-20 19:14:58.125 [main] INFO   - Ontologies Loaded [5431]
2015-11-20 19:14:58.219 [main] DEBUG  - auction, matched 1 times
2015-11-20 19:14:58.235 [main] DEBUG  - 1319, matched 0 times
2015-11-20 19:14:58.266 [main] DEBUG  - gmc, matched 0 times
2015-11-20 19:14:58.282 [main] DEBUG  - 800, matched 1 times
2015-11-20 19:14:58.313 [main] DEBUG  - fish, matched 1 times
2015-11-20 19:14:58.328 [main] DEBUG  - college, matched 1 times
2015-11-20 19:14:58.344 [main] DEBUG  - myspace, matched 0 times
2015-11-20 19:14:58.375 [main] DEBUG  - visit, matched 0 times
2015-11-20 19:14:58.407 [main] DEBUG  - jobsstroud, matched 0 times
2015-11-20 19:14:58.422 [main] DEBUG  - johnnydepp, matched 0 times
2015-11-20 19:14:58.438 [main] DEBUG  - playtube, matched 0 times
2015-11-20 19:14:58.453 [main] DEBUG  - sema2015, matched 0 times
2015-11-20 19:14:58.469 [main] DEBUG  - hotrods, matched 0 times
2015-11-20 19:14:58.485 [main] DEBUG  - catsincars, matched 0 times
2015-11-20 19:14:58.500 [main] DEBUG  - smartcar, matched 0 times
2015-11-20 19:14:58.516 [main] DEBUG  - luxury_car_hire, matched 0 times
2015-11-20 19:14:58.532 [main] DEBUG  - 7316246, matched 0 times
2015-11-20 19:14:58.547 [main] DEBUG  - nashville, matched 3 times
2015-11-20 19:14:58.563 [main] DEBUG  - hyundai, matched 22 times
2015-11-20 19:14:58.578 [main] DEBUG  - gle, matched 0 times
2015-11-20 19:14:58.594 [main] DEBUG  - technologynews, matched 0 times
2015-11-20 19:14:58.610 [main] DEBUG  - tj13, matched 0 times
2015-11-20 19:14:58.625 [main] DEBUG  - 203, matched 0 times
2015-11-20 19:14:58.641 [main] DEBUG  - audia4avant, matched 0 times
2015-11-20 19:14:58.657 [main] DEBUG  - classiccars, matched 0 times
2015-11-20 19:14:58.672 [main] DEBUG  - billionaire, matched 0 times
2015-11-20 19:14:58.688 [main] DEBUG  - hamiltons, matched 0 times
2015-11-20 19:14:58.703 [main] DEBUG  - 29, matched 0 times
2015-11-20 19:14:58.719 [main] DEBUG  - cardealers, matched 0 times
2015-11-20 19:14:58.735 [main] DEBUG  - 409, matched 0 times
2015-11-20 19:14:58.750 [main] DEBUG  - driverless, matched 0 times
2015-11-20 19:14:58.782 [main] DEBUG  - 3, matched 0 times
2015-11-20 19:14:58.797 [main] DEBUG  - 2, matched 0 times
2015-11-20 19:14:58.813 [main] DEBUG  - snapchatmegirl, matched 0 times
2015-11-20 19:14:58.844 [main] DEBUG  - androidapps, matched 0 times
2015-11-20 19:14:58.860 [main] DEBUG  - theincredibles2, matched 0 times
